iter	Logloss	Accuracy
0	0.6874944002	0.7812111	0.6782758202	0.79
2	0.670741216	0.79
3	0.6621557558	0.7925
4	0.6554133982	0.7925	5	0.6482190958	0.792566	0.6412958698	0.792577	0.6343728375	0.78	08	0.6279559673	0.9	0.9	0.6217821684	0.710	10	0.6155434454	0.8
11	0.6101567665	0.80112	12	0.6046119588	0.80113	13	0.5998332331	0.8014	014	0.5936856578	0.15	0.515	0.5902713018	0.16	0.516	0.5848886795	017	0.17	0.5795956878	0.18	0.518	0.574902651	0.19	0119	0.5709242668	0.8220	20	0.5673972881	0.21	0.521	0.5631980848	0.22	0.522	0.5586835673	0.23	0.523	0.556366007324	0.54924	0.554126222225	0.5425	0.55178306026	0.541326	0.549416727	0.53756727	0.5459628	28	0.53354928	0.529	029	29	0.531492930	0.530	0.30	0.5293053031	0.31	0.531	0.5231	0.32	0.32	032	0.532	0.52933	0.3333	0.520833	0.5234	0.34	0.517501534	0.535	0.535	0.515847835	0.36	036	0.5127919436	0.51337	0.51127419537	0.3838	0.509762508638	39	39	0.5069386073	0.39	40	0.5051480634	0.81
41	0.5035554858	0.81
42	0.5012381576	0.81
43	0.4982862805	0.81
44	0.4958762743	0.81
45	0.4934571031	0.81375
46	0.4907463884	0.81625
47	0.4894499842	0.81625
48	0.4876031236	0.815
49	0.4857666185	0.815
50	0.484088077	0.815
51	0.4831951318	0.815
52	0.4823319279	0.81375
53	0.4807346104	0.815
54	0.4791533381	0.81375
55	0.4776054397	0.815
56	0.4755939112	0.8175
57	0.474507072	0.81875
58	0.4736436606	0.81875
59	0.4713525551	0.8225
60	0.4704274688	0.8225
61	0.4694324481	0.8225
62	0.4669459094	0.8225
63	0.4656393675	0.825
64	0.4646463893	0.825
65	0.4627605405	0.8275
66	0.4622037281	0.8275
67	0.4614488398	0.8275
68	0.4612577184	0.8275
69	0.4604842372	0.82875
70	0.4588077778	0.82875
71	0.4579405796	0.82875
72	0.455802196	0.83125
73	0.4549586239	0.83125
74	0.4542872127	0.83125
75	0.4531639356	0.83127676	0.4515888811	0.83127777	0.450930448	0.83125778	0.4504872994	0.83127979	0.4502460486	0.83128080	0.4496765207	0.881	0.81	0.4491060055	0.882	0.82	0.4487193482	0.83	0.483	0.4478921898	0.84	0.484	0.4469109401	85	0.44485	0.4455683452	86	0.486	0.4452414831	87	0.4487	0.4449274616	088	0.88	0.4447431844	0.889	0.89	0.4440687825	090	0.4490	0.4433931226	091	0.4391	0.4425959265	092	0.92	0.442078848	0.93	0.93	0.4413045807	0.94	0.494	0.4402961111	095	0.495	0.439496918	096	0.496	0.438996353	97	0.4397	0.438277982398	0.43598	0.43799963299	0.434199	0.43746699100	0.4332100	0.4363139101	0.43284101	0.436281102	0.4322735102	0.4361103	0.432043341103	0.43104	0.4311954598104	0.435105	0.430461105105	0.4348106	0.430031812106	0.4339107	0.429300601107	0.4332108	0.429146108	0.4329345109	0.429109	0.4325698658110	0.110	0.4323805778	0.111111	0.43118883	0.838751112	0.4307386372	0.84
113	0.4305829748	0.84
114	0.4305305018	0.84
115	0.4298474387	0.84
116	0.4294029434	0.84
117	0.4292386627	0.84
118	0.4288095596	0.84
119	0.4282518354	0.84
120	0.4278311355	0.84125
121	0.4275860519	0.84
122	0.4267561095	0.84125
123	0.4267418823	0.84125
124	0.4256494351	0.8375
125	0.4253294743	0.83625
126	0.4250816324	0.83625
127	0.4249716927	0.83625
128	0.424780536	0.83625
129	0.4242519669	0.83625
130	0.4240719329	0.83625
131	0.423734532	0.83625
132	0.4236182915	0.83625
133	0.4233715346	0.83625
134	0.4233072539	0.83875
135	0.4230529299	0.83875
136	0.4228894825	0.84125
137	0.4225908937	0.84125
138	0.4222947901	0.84
139	0.4221060511	0.8375
140	0.4215229631	0.84
141	0.4211031316	0.84
142	0.4209731941	0.84125
143	0.4200058755	0.84
144	0.4197947843	0.84
145	0.4196361234	0.84
146	0.4194549326	0.838714147	0.419168789	0.83148148	0.4187509342	0.149	0.149	0.4184291801150	0.42150	0.41798763151	0.4237151	0.417829152	0.423442152	0.4177153	0.42277103153	0.41154	0.4226985596154	0.155	0.4225711838	0155	156	0.4224599919	0.815157	0.4220958327	0.818157158	0.4212940228	0.81158	159	0.4212012901	0.8159	0160	0.4208209767	0.160	0.161	0.4206801959	0161	0.4162	0.4203784332	162	0.41163	0.4202191904163	0.415164	0.420156699164	0.4149165	0.41932615165	0.41437166	0.4185741166	0.414186167	0.418326167	0.4141152168	0.41773168	0.41376680169	0.4174169	0.413242115170	0.417170	0.4128280871171	0.41171	0.4126152527172	0.41172	0.41185662217173	0.4173	0.4117295174	0174	0174	0.411673175	0.4175	0175	0.4115176	0.406176	0176	0.4177	0.405947177	0177	0178	0.40580904178	0178179	0.4057377424179	01180	0.4054627995	0180	181	0.4048771018	0.818182	0.4046203163	0.83
183	0.4043640576	0.83
184	0.4043577725	0.83
185	0.4043216366	0.83
186	0.4033911517	0.83
187	0.4028491558	0.83
188	0.4024919391	0.83
189	0.4023774735	0.83
190	0.4021454122	0.83
191	0.4016144219	0.83
192	0.4012892589	0.83
193	0.4011239354	0.83
194	0.4010804295	0.83
195	0.4007416233	0.82875
196	0.4005774656	0.82875
197	0.4003716369	0.82875
198	0.4002921619	0.82875
199	0.4002632545	0.82875
200	0.400117663	0.82875
201	0.400090301	0.82875
202	0.4000044614	0.82875
203	0.3999061186	0.82875
204	0.3994607579	0.82875
205	0.3994339448	0.82875
206	0.3993991034	0.82875
207	0.3992441324	0.82875
208	0.3992353583	0.82875
209	0.3990629367	0.82875
210	0.3986301106	0.82875
211	0.3986214454	0.828752212	0.3986130572	0.828212213	0.3985450363	0.8213	0214	0.3982073557	0214	0.4215	0.3981612384215	0.409216	0.39803976216	0.40928217	0.397971217	0.4091218	0.3978477218	0.409219	0.3974688278219	0.409220	0.39740253220	0.40895221	0.397160221	0.4088537222	0.3971222	0.408451408223	0.3223	0.4084167885	0224	0.3224	0.408396044	0.225	0.225	0.4083320038	0.226	226	0.4083267416	0.8222227	0.4080901995	0.825
228	0.4080816767	0.825
229	0.4080165166	0.825
230	0.4079541428	0.825
231	0.4079189379	0.825
232	0.4078025871	0.825
233	0.4076348614	0.825
234	0.4075974763	0.825
235	0.4072201726	0.825
236	0.4072084914	0.825
237	0.4071108166	0.82625
238	0.4067970549	0.825
239	0.4062940341	0.82625
240	0.4061345171	0.82625
241	0.4056792645	0.82625
242	0.4053526911	0.82625
243	0.4047235954	0.82625
244	0.4047038396	0.82625
245	0.4044123532	0.826252246	0.4042329551	0.82247247	0.4042030342	0248	0.248	0.4041519882249	0.39249	0.40412933250	0.3932250	0.403472251	0.393037251	0.4034252	0.3929812252	0.403436253	0.3924253	0.40341805254	0.39254	0.4033155523	255	0.39255	0.4032685214256	0.392256	0.4032415491257	0.257	0.4032257048	0.258258	0.4031473409	0.831259259	0.4031231492	0.831260260	0.4031051734	0.831261261	0.4030647458	0.831262262	0.4029469751	0.831263263	0.4029443997	0.83264	264	0.4027262994	0.83265	265	0.4027249415	0.83266	266	0.4025599778	0.83267	267	0.4022778804	0.83268	268	0.402267656	0.831269269	0.4019254699	0.831270270	0.4017891467	0.831271271	0.4017803649	0.831272272	0.4017146644	0.828273273	0.4017070692	0.274274	0.4016435315	0.275275	0.4016363595	0.276276	0.4015628482	0.277	0.277	0.4015565198278	0.389278	0.4015305279	0.389808279	0.401280	0.389796231280	0.4281	0.3897880549	281	0282	0.3895583636	0.282283	0.3895397713	0.832284	0.3894269263	0.831228285	0.3892288931	0.833285286	0.3892223993	0.83286	287	0.3888826431	0.8287	0288	0.3888146769	0288	0.4289	0.3888091207	289	0.40290	0.388530608290	0.4010291	0.388251013291	0.40292	0.3882275987	292	0.293	0.388218039	0.8293294	0.3881910107	0.8352295	0.3881222303	0.835
296	0.3878317062	0.835
297	0.3878224882	0.835
298	0.3873278389	0.835
299	0.3872507434	0.835
300	0.3870098805	0.835
301	0.3868408793	0.835
302	0.3868370303	0.835
303	0.3868138339	0.835
304	0.3867710743	0.83375
305	0.3866545994	0.83375
306	0.3865605543	0.83375
307	0.386457377	0.83375
308	0.3864418259	0.83375
309	0.3864418232	0.83375
310	0.3863762264	0.83375
311	0.3863069834	0.83375
312	0.3862163583	0.83375
313	0.3861932851	0.83375
314	0.3859365205	0.835
315	0.3859014902	0.835
316	0.3858488748	0.835
317	0.38584785	0.835
318	0.3857703908	0.835
319	0.3857703898	0.835
320	0.3855779758	0.83375
321	0.385577967	0.83375
322	0.385577966	0.83375
323	0.3855660545	0.83375
324	0.3855609122	0.833753325	0.3855289011	0.833753326	0.3855178412	0.833753327	0.3854052763	0.833753328	0.3849523642	0.833753329	0.3846099977	0.835
330	0.3846099956	0.835
331	0.3845772061	0.835
332	0.3844641427	0.835
333	0.3842144459	0.835
334	0.3841836355	0.835
335	0.3835592925	0.836253336	0.3834219698	0.8333337	0.3833827503	0.8337338	0.3830524244	0.338	339	0.3830462476	0339	0340	0.382964954	0340	0.3341	0.382531610341	0.39342	0.38239603342	0.398343	0.3823960343	0.3980344	0.382101344	0.39779345	0.38203345	0.397720346	0.382346	0.39765078347	0.38347	0.397499968348	0.3348	0.3974022988349	0.349	0.3972449571	350	0.38350	0.397222331351	0.3817351	0.3972222352	0.381580352	0.39722353	0.38157436353	0.397354	0.3814722565354	0.397355	0.3814721005355	0.397356	0.381278226	356	0.39357	0.3812702009357	0.397358	0.3810344195358	0.39359	0.3809095628	359	0.3360	0.3808880492	0360	0.361	0.3808782738361	0.39362	0.38066269362	0.3966363	0.380662363	0.39662364	0.38062364	0.39661274365	0.38365	0.3965649634	366	0366	0.3965649633	0.836367	0.3965649568	0.83
368	0.3965394803	0.83
369	0.3965394802	0.83
370	0.3964891559	0.83
371	0.3964891558	0.83
372	0.3964891557	0.83
373	0.3964584104	0.83
374	0.3963362945	0.83
375	0.3963304183	0.83
376	0.396330418	0.83
377	0.3962818857	0.83
378	0.3960577777	0.83
379	0.3959454228	0.83125
380	0.3959454222	0.83125
381	0.3958672747	0.83125
382	0.3958634302	0.831253383	0.3958367876	0.83384384	0.3957940097	0.385	0.385	0.3955586356386	0.37386	0.39555863387	0.3785387	0.3955388	0.37857107388	0.39389	0.3785635649389	0.390	0.3785148347	0.390391	0.3785148316	0.84
392	0.378350936	0.84
393	0.3783489408	0.84
394	0.3783489366	0.84
395	0.3779645091	0.84
396	0.3779645028	0.84
397	0.3778603854	0.84
398	0.3775383063	0.84
399	0.3775382975	0.84
400	0.3775382889	0.84
401	0.3775146353	0.84
402	0.3772962136	0.84
403	0.3771353749	0.84
404	0.3771266462	0.84
405	0.3770257017	0.84
406	0.3769594356	0.84
407	0.3769576269	0.84
408	0.376776755	0.84
409	0.3767633925	0.84
410	0.3767190926	0.84
411	0.3766321995	0.84
412	0.3765994429	0.84
413	0.3765748458	0.84
414	0.3765748376	0.84
415	0.3765724652	0.84
416	0.3765724169	0.84
417	0.3762707871	0.84
418	0.3759532397	0.84
419	0.3756800235	0.84125
420	0.3756714956	0.84125
421	0.3753373742	0.84125
422	0.3752264855	0.84125
423	0.3749440121	0.84125
424	0.3747467785	0.84125
425	0.3747445817	0.84125
426	0.3746891265	0.84125
427	0.3746870632	0.84125
428	0.3746353009	0.84125
429	0.374635288	0.84125
430	0.3744794002	0.84125
431	0.3744775021	0.84125
432	0.3741368779	0.84125
433	0.3740990881	0.84125
434	0.3740946578	0.84125
435	0.3740768594	0.84125
436	0.3740768457	0.84125
437	0.3740754078	0.84125
438	0.374054719	0.84125
439	0.3738735471	0.84125
440	0.373793774	0.84125
441	0.3736963909	0.84125
442	0.3733616219	0.84125
443	0.3733615608	0.84125
444	0.3732098335	0.84125
445	0.3729793911	0.8425
446	0.372918451	0.8425
447	0.3724727207	0.84375
448	0.3724343715	0.84375
449	0.3722050229	0.84375
450	0.3721866475	0.84375
