iter	Logloss	Accuracy
0	0.6841272013	0.7885264342
1	0.6747566743	0.7885264342
2	0.6655275887	0.7941507312
3	0.6580279537	0.7941507312
4	0.6503528411	0.7941507312
5	0.6434204583	0.7941507312
6	0.6365368771	0.7941507312
7	0.6298695231	0.7919010124
8	0.6254098985	0.7885264342
9	0.6193372051	0.7885264342
10	0.6124632904	0.7919010124
11	0.6065469136	0.7919010124
12	0.6002758095	0.7952755906
13	0.5941682314	0.8098987627
14	0.590650469	0.7952755906
15	0.5872555885	0.7896512936
16	0.5818956116	0.7952755906
17	0.5769945116	0.7986501687
18	0.5725906235	0.7930258718
19	0.5678944641	0.7986501687
20	0.5638640317	0.7986501687
21	0.5600095737	0.7986501687
22	0.5559457119	0.7986501687
23	0.5518603041	0.8008998875
24	0.5473268253	0.8020247469
25	0.5450462705	0.7952755906
26	0.542613748	0.7975253093
27	0.5404906454	0.7930258718
28	0.5371802252	0.7930258718
29	0.5335234136	0.8008998875
30	0.5294628915	0.8042744657
31	0.5268531846	0.8042744657
32	0.5237062287	0.8042744657
33	0.5216377421	0.8031496063
34	0.5186115347	0.8042744657
35	0.5178083332	0.811023622
36	0.5152394265	0.811023622
37	0.5130491555	0.8098987627
38	0.5103522294	0.8132733408
39	0.5080743211	0.8121484814
40	0.505939674	0.8121484814
41	0.5039633188	0.8121484814
42	0.5023196255	0.8076490439
43	0.4997293241	0.8132733408
44	0.4977858324	0.8121484814
45	0.4959448477	0.8098987627
46	0.4935236499	0.8177727784
47	0.4916036423	0.8200224972
48	0.4898124215	0.8200224972
49	0.4888162208	0.8200224972
50	0.4871868741	0.8200224972
51	0.4855757757	0.8200224972
52	0.4846238784	0.8177727784
53	0.4828737927	0.8177727784
54	0.4816986439	0.816647919
55	0.4810187512	0.816647919
56	0.4795492804	0.8132733408
57	0.4777840846	0.8200224972
58	0.4771676009	0.8200224972
59	0.4766600375	0.8200224972
60	0.4753513754	0.8200224972
61	0.4739078821	0.8177727784
62	0.4726300705	0.8177727784
63	0.4710867587	0.8200224972
64	0.4690405279	0.8188976378
65	0.4676653601	0.8188976378
66	0.4660501783	0.8200224972
67	0.4650681565	0.8200224972
68	0.464680135	0.8200224972
69	0.463608357	0.8200224972
