iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FN	F1_TP+FP
0	231	312	231	340	231	340	312
1	231	312	231	340	231	340	312
2	231	312	231	340	231	340	312
3	231	312	231	340	231	340	312
4	231	312	231	340	231	340	312
5	231	312	231	340	231	340	312
6	231	312	231	340	231	340	312
7	231	312	231	340	231	340	312
8	231	312	231	340	231	340	312
9	231	312	231	340	231	340	312
10	229	302	229	340	229	340	302
11	229	302	229	340	229	340	302
12	229	302	229	340	229	340	302
13	218	269	218	340	218	340	269
14	229	302	229	340	229	340	302
15	231	312	231	340	231	340	312
16	229	302	229	340	229	340	302
17	229	302	229	340	229	340	302
18	231	312	231	340	231	340	312
19	229	301	229	340	229	340	301
20	229	301	229	340	229	340	301
21	229	301	229	340	229	340	301
22	229	301	229	340	229	340	301
23	229	301	229	340	229	340	301
24	229	300	229	340	229	340	300
25	231	310	231	340	231	340	310
26	229	300	229	340	229	340	300
27	231	311	231	340	231	340	311
28	231	311	231	340	231	340	311
29	231	310	231	340	231	340	310
30	229	300	229	340	229	340	300
31	229	300	229	340	229	340	300
32	229	300	229	340	229	340	300
33	229	300	229	340	229	340	300
34	229	300	229	340	229	340	300
35	229	298	229	340	229	340	298
36	229	293	229	340	229	340	293
37	229	293	229	340	229	340	293
38	229	291	229	340	229	340	291
39	229	291	229	340	229	340	291
40	229	291	229	340	229	340	291
41	229	291	229	340	229	340	291
42	229	298	229	340	229	340	298
43	229	291	229	340	229	340	291
44	228	288	228	340	228	340	288
45	229	298	229	340	229	340	298
46	228	288	228	340	228	340	288
47	228	286	228	340	228	340	286
48	228	286	228	340	228	340	286
49	228	288	228	340	228	340	288
50	228	286	228	340	228	340	286
51	228	286	228	340	228	340	286
52	228	285	228	340	228	340	285
53	221	273	221	340	221	340	273
54	228	285	228	340	228	340	285
55	221	273	221	340	221	340	273
56	225	280	225	340	225	340	280
57	228	279	228	340	228	340	279
58	228	279	228	340	228	340	279
59	228	278	228	340	228	340	278
60	228	278	228	340	228	340	278
61	221	271	221	340	221	340	271
62	221	271	221	340	221	340	271
63	226	277	226	340	226	340	277
64	228	277	228	340	228	340	277
65	228	278	228	340	228	340	278
66	227	277	227	340	227	340	277
67	228	277	228	340	228	340	277
68	228	277	228	340	228	340	277
69	228	277	228	340	228	340	277
70	228	277	228	340	228	340	277
71	228	277	228	340	228	340	277
72	228	277	228	340	228	340	277
73	228	277	228	340	228	340	277
74	229	278	229	340	229	340	278
75	229	278	229	340	229	340	278
76	230	279	230	340	230	340	279
77	230	279	230	340	230	340	279
78	230	279	230	340	230	340	279
79	230	279	230	340	230	340	279
80	230	277	230	340	230	340	277
81	230	275	230	340	230	340	275
82	230	275	230	340	230	340	275
83	230	277	230	340	230	340	277
84	230	275	230	340	230	340	275
85	230	275	230	340	230	340	275
86	230	272	230	340	230	340	272
87	229	266	229	340	229	340	266
88	228	265	228	340	228	340	265
89	224	257	224	340	224	340	257
90	224	257	224	340	224	340	257
91	224	258	224	340	224	340	258
92	224	258	224	340	224	340	258
93	224	257	224	340	224	340	257
94	224	257	224	340	224	340	257
95	224	255	224	340	224	340	255
96	224	255	224	340	224	340	255
97	224	255	224	340	224	340	255
98	224	255	224	340	224	340	255
99	223	251	223	340	223	340	251
100	224	253	224	340	224	340	253
101	224	254	224	340	224	340	254
102	224	254	224	340	224	340	254
103	224	254	224	340	224	340	254
104	223	249	223	340	223	340	249
105	223	249	223	340	223	340	249
106	221	247	221	340	221	340	247
107	221	247	221	340	221	340	247
108	221	246	221	340	221	340	246
109	221	247	221	340	221	340	247
110	221	246	221	340	221	340	246
111	221	247	221	340	221	340	247
112	222	248	222	340	222	340	248
113	221	247	221	340	221	340	247
114	222	248	222	340	222	340	248
115	221	247	221	340	221	340	247
116	221	247	221	340	221	340	247
117	222	248	222	340	222	340	248
118	221	247	221	340	221	340	247
119	221	248	221	340	221	340	248
120	221	248	221	340	221	340	248
121	221	248	221	340	221	340	248
122	221	248	221	340	221	340	248
123	222	249	222	340	222	340	249
124	222	248	222	340	222	340	248
125	222	248	222	340	222	340	248
126	222	248	222	340	222	340	248
127	222	248	222	340	222	340	248
128	222	248	222	340	222	340	248
129	222	248	222	340	222	340	248
130	222	248	222	340	222	340	248
131	222	248	222	340	222	340	248
132	222	248	222	340	222	340	248
133	223	249	223	340	223	340	249
134	223	249	223	340	223	340	249
135	223	249	223	340	223	340	249
136	223	249	223	340	223	340	249
137	223	249	223	340	223	340	249
138	223	249	223	340	223	340	249
139	223	249	223	340	223	340	249
140	223	249	223	340	223	340	249
141	223	249	223	340	223	340	249
142	223	249	223	340	223	340	249
143	223	249	223	340	223	340	249
144	223	249	223	340	223	340	249
145	223	249	223	340	223	340	249
146	223	249	223	340	223	340	249
147	223	249	223	340	223	340	249
148	223	249	223	340	223	340	249
149	223	249	223	340	223	340	249
150	223	249	223	340	223	340	249
151	223	249	223	340	223	340	249
152	223	249	223	340	223	340	249
153	223	249	223	340	223	340	249
154	223	249	223	340	223	340	249
155	223	249	223	340	223	340	249
156	223	249	223	340	223	340	249
157	223	249	223	340	223	340	249
158	224	250	224	340	224	340	250
159	223	249	223	340	223	340	249
160	223	249	223	340	223	340	249
161	224	251	224	340	224	340	251
162	224	250	224	340	224	340	250
163	224	251	224	340	224	340	251
164	224	251	224	340	224	340	251
165	224	250	224	340	224	340	250
166	223	249	223	340	223	340	249
167	223	249	223	340	223	340	249
168	223	249	223	340	223	340	249
169	223	249	223	340	223	340	249
170	223	249	223	340	223	340	249
171	223	249	223	340	223	340	249
172	223	249	223	340	223	340	249
173	224	250	224	340	224	340	250
174	223	249	223	340	223	340	249
175	223	250	223	340	223	340	250
176	223	250	223	340	223	340	250
177	224	251	224	340	224	340	251
178	224	251	224	340	224	340	251
179	224	251	224	340	224	340	251
180	224	251	224	340	224	340	251
181	224	251	224	340	224	340	251
182	224	251	224	340	224	340	251
183	224	251	224	340	224	340	251
184	224	251	224	340	224	340	251
185	224	251	224	340	224	340	251
186	224	251	224	340	224	340	251
187	224	251	224	340	224	340	251
188	224	251	224	340	224	340	251
189	224	251	224	340	224	340	251
190	224	251	224	340	224	340	251
191	224	251	224	340	224	340	251
192	224	251	224	340	224	340	251
193	224	251	224	340	224	340	251
194	224	251	224	340	224	340	251
195	224	251	224	340	224	340	251
196	224	251	224	340	224	340	251
197	224	251	224	340	224	340	251
198	224	251	224	340	224	340	251
199	224	251	224	340	224	340	251
200	223	250	223	340	223	340	250
201	223	250	223	340	223	340	250
202	223	249	223	340	223	340	249
203	223	249	223	340	223	340	249
204	223	249	223	340	223	340	249
205	223	249	223	340	223	340	249
206	223	249	223	340	223	340	249
207	223	249	223	340	223	340	249
208	223	249	223	340	223	340	249
209	223	249	223	340	223	340	249
210	223	249	223	340	223	340	249
211	223	249	223	340	223	340	249
212	223	249	223	340	223	340	249
213	225	251	225	340	225	340	251
214	226	252	226	340	226	340	252
215	226	252	226	340	226	340	252
216	226	252	226	340	226	340	252
217	226	252	226	340	226	340	252
218	227	253	227	340	227	340	253
219	226	252	226	340	226	340	252
220	228	254	228	340	228	340	254
221	227	253	227	340	227	340	253
222	227	253	227	340	227	340	253
223	227	253	227	340	227	340	253
224	226	252	226	340	226	340	252
225	227	253	227	340	227	340	253
226	227	253	227	340	227	340	253
227	229	255	229	340	229	340	255
228	230	256	230	340	230	340	256
229	231	257	231	340	231	340	257
230	231	257	231	340	231	340	257
231	231	257	231	340	231	340	257
232	231	257	231	340	231	340	257
233	231	257	231	340	231	340	257
234	232	258	232	340	232	340	258
235	232	258	232	340	232	340	258
236	232	258	232	340	232	340	258
237	231	257	231	340	231	340	257
238	231	257	231	340	231	340	257
239	230	256	230	340	230	340	256
240	231	257	231	340	231	340	257
241	231	257	231	340	231	340	257
242	231	257	231	340	231	340	257
243	231	257	231	340	231	340	257
244	231	257	231	340	231	340	257
245	231	257	231	340	231	340	257
246	231	257	231	340	231	340	257
247	232	258	232	340	232	340	258
248	232	258	232	340	232	340	258
249	232	258	232	340	232	340	258
250	232	258	232	340	232	340	258
251	232	258	232	340	232	340	258
252	232	258	232	340	232	340	258
253	232	258	232	340	232	340	258
254	232	258	232	340	232	340	258
255	232	258	232	340	232	340	258
256	232	258	232	340	232	340	258
257	232	258	232	340	232	340	258
258	232	258	232	340	232	340	258
259	232	258	232	340	232	340	258
260	232	258	232	340	232	340	258
261	232	258	232	340	232	340	258
262	232	258	232	340	232	340	258
263	232	258	232	340	232	340	258
264	232	258	232	340	232	340	258
265	232	258	232	340	232	340	258
266	233	259	233	340	233	340	259
267	233	259	233	340	233	340	259
268	233	259	233	340	233	340	259
269	233	259	233	340	233	340	259
270	233	259	233	340	233	340	259
271	233	259	233	340	233	340	259
272	233	259	233	340	233	340	259
273	233	259	233	340	233	340	259
274	233	259	233	340	233	340	259
275	233	259	233	340	233	340	259
276	233	259	233	340	233	340	259
277	233	259	233	340	233	340	259
278	233	259	233	340	233	340	259
279	233	259	233	340	233	340	259
280	233	259	233	340	233	340	259
281	233	259	233	340	233	340	259
282	233	259	233	340	233	340	259
283	233	259	233	340	233	340	259
284	233	259	233	340	233	340	259
285	233	259	233	340	233	340	259
286	233	259	233	340	233	340	259
287	234	260	234	340	234	340	260
288	234	260	234	340	234	340	260
289	234	260	234	340	234	340	260
290	234	260	234	340	234	340	260
291	234	260	234	340	234	340	260
292	234	260	234	340	234	340	260
293	234	260	234	340	234	340	260
294	235	261	235	340	235	340	261
295	235	262	235	340	235	340	262
296	235	262	235	340	235	340	262
297	236	263	236	340	236	340	263
298	235	262	235	340	235	340	262
299	236	263	236	340	236	340	263
300	236	263	236	340	236	340	263
301	236	263	236	340	236	340	263
302	238	265	238	340	238	340	265
303	238	265	238	340	238	340	265
304	238	265	238	340	238	340	265
305	238	265	238	340	238	340	265
306	238	265	238	340	238	340	265
307	238	265	238	340	238	340	265
308	238	265	238	340	238	340	265
309	237	264	237	340	237	340	264
310	238	265	238	340	238	340	265
311	239	266	239	340	239	340	266
312	239	266	239	340	239	340	266
313	239	266	239	340	239	340	266
314	239	266	239	340	239	340	266
315	239	266	239	340	239	340	266
316	239	266	239	340	239	340	266
